"","yearSeason","slugSeason","slugLeague","typeSeason","dateGame","idGame","numberGameTeamSeason","nameTeam","idTeam","isB2B","isB2BFirst","isB2BSecond","locationGame","slugMatchup","slugTeam","countDaysRestTeam","countDaysNextGameTeam","slugOpponent","slugTeamWinner","slugTeamLoser","outcomeGame","namePlayer","numberGamePlayerSeason","countDaysRestPlayer","countDaysNextGamePlayer","idPlayer","isWin","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","hasVideo","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus","fpts","urlTeamSeasonLogo","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"1",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Romeo Langford",1,120,120,1629641,FALSE,4,6,0.667,2,3,0.666666666666667,NA,TRUE,2,3,0.666666666666667,23,0,0,2,1,3,0,1,0,3,2,10,-14,13.6,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1629641","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629641.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629641.png","https://stats.nba.com/media/players/700/1629641.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"2",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Grant Williams",1,120,120,1629684,FALSE,6,9,0.667,3,5,0.6,NA,TRUE,3,4,0.75,31,0,0,0,5,5,4,1,1,2,5,15,-5,31,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1629684","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629684.png","https://stats.nba.com/media/players/700/1629684.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"3",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Aaron Nesmith",1,120,120,1630174,FALSE,0,4,0,0,3,0,NA,TRUE,0,1,0,11,0,0,1,1,2,1,0,0,0,2,0,-14,3.9,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1630174","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630174.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630174.png","https://stats.nba.com/media/players/700/1630174.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Payton Pritchard",1,120,120,1630202,FALSE,0,3,0,0,2,0,NA,TRUE,0,1,0,11,0,0,3,2,5,2,0,1,0,1,0,4,12,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1630202","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://stats.nba.com/media/players/700/1630202.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"5",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Dennis Schroder",1,120,120,203471,FALSE,5,16,0.313,1,4,0.25,0.5,TRUE,4,12,0.333333333333333,32,1,2,2,1,3,8,2,0,2,3,12,-16,31.6,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/203471","https://stats.nba.com/media/players/230x185/203471.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png","https://stats.nba.com/media/players/700/203471.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203471.png"
"6",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Marcus Smart",1,120,120,203935,FALSE,5,14,0.357,5,11,0.454545454545455,NA,TRUE,0,3,0,46,0,0,0,8,8,6,2,0,4,3,15,1,35.6,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/203935","https://stats.nba.com/media/players/230x185/203935.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png","https://stats.nba.com/media/players/700/203935.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png"
"7",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Robert Williams III",1,120,120,1629057,FALSE,5,5,1,0,0,0,0.75,TRUE,5,5,1,45,6,8,3,7,10,3,3,5,0,1,16,11,56.5,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1629057","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629057.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629057.png","https://stats.nba.com/media/players/700/1629057.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629057.png"
"8",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Jayson Tatum",1,120,120,1628369,FALSE,7,30,0.233,2,15,0.133333333333333,0.8,TRUE,5,15,0.333333333333333,45,4,5,4,7,11,4,1,1,3,2,20,-3,42.2,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
"9",2022,"2021-22","NBA","Regular Season",2021-10-20,22100005,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","NYK","BOS","L","Jaylen Brown",1,120,120,1627759,FALSE,16,30,0.533,8,14,0.571428571428571,0.75,TRUE,8,16,0.5,46,6,8,0,9,9,6,3,1,4,5,46,16,73.8,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1627759","https://stats.nba.com/media/players/230x185/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png","https://stats.nba.com/media/players/700/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png"
"10",2022,"2021-22","NBA","Regular Season",2021-10-22,22100020,2,"Boston Celtics",1610612738,FALSE,TRUE,FALSE,"H","BOS vs. TOR","BOS",1,1,"TOR","TOR","BOS","L","Jayson Tatum",2,1,1,1628369,FALSE,8,14,0.571,2,4,0.5,0,TRUE,6,10,0.6,30,0,1,0,6,6,4,0,2,5,3,18,-12,32.2,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
"11",2022,"2021-22","NBA","Regular Season",2021-10-22,22100020,2,"Boston Celtics",1610612738,FALSE,TRUE,FALSE,"H","BOS vs. TOR","BOS",1,1,"TOR","TOR","BOS","L","Marcus Smart",2,1,1,203935,FALSE,0,6,0,0,4,0,NA,TRUE,0,2,0,29,0,0,0,0,0,5,2,1,2,2,0,-12,14.5,"https://stats.nba.com/media/img/teams/logos/season/2021-22/BOS_logo.svg","https://stats.nba.com/player/203935","https://stats.nba.com/media/players/230x185/203935.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png","https://stats.nba.com/media/players/700/203935.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203935.png"
