"","X","yearSeason","slugSeason","slugLeague","typeSeason","dateGame","idGame","numberGameTeamSeason","nameTeam","idTeam","isB2B","isB2BFirst","isB2BSecond","locationGame","slugMatchup","slugTeam","countDaysRestTeam","countDaysNextGameTeam","slugOpponent","slugTeamWinner","slugTeamLoser","outcomeGame","namePlayer","numberGamePlayerSeason","countDaysRestPlayer","countDaysNextGamePlayer","idPlayer","isWin","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","hasVideo","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus","fpts","urlTeamSeasonLogo","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"1",47,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Al Horford",1,120,120,201143,TRUE,3,4,0.75,2,3,0.666666666666667,NA,TRUE,1,1,1,26,0,0,3,4,7,2,0,0,3,2,8,-7,16.4,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201143","https://stats.nba.com/media/players/230x185/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png","https://stats.nba.com/media/players/700/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png"
"2",88,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Derrick White",1,120,120,1628401,TRUE,4,6,0.667,1,3,0.333333333333333,0.75,TRUE,3,3,1,32,3,4,0,6,6,2,2,1,1,3,12,7,30.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628401","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://stats.nba.com/media/players/700/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png"
"3",89,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Sam Hauser",1,120,120,1630573,TRUE,0,4,0,0,4,0,NA,TRUE,0,0,0,14,0,0,0,2,2,0,1,1,0,1,0,5,8.4,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630573","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://stats.nba.com/media/players/700/1630573.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4",197,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Jaylen Brown",1,120,120,1627759,TRUE,4,11,0.364,0,4,0,0.75,TRUE,4,7,0.571428571428571,38,3,4,0,6,6,5,1,0,2,5,11,8,26.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1627759","https://stats.nba.com/media/players/230x185/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png","https://stats.nba.com/media/players/700/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png"
"5",198,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Jayson Tatum",1,120,120,1628369,TRUE,13,22,0.591,3,8,0.375,0.833,TRUE,10,14,0.714285714285714,39,5,6,0,11,11,4,2,1,4,3,34,0,58.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
"6",244,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Kristaps Porziņģis",1,120,120,204001,TRUE,8,15,0.533,5,9,0.555555555555556,0.9,TRUE,3,6,0.5,38,9,10,1,7,8,0,0,4,1,4,30,13,50.6,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/204001","https://stats.nba.com/media/players/230x185/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png","https://stats.nba.com/media/players/700/204001.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/204001.png"
"7",245,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Luke Kornet",1,120,120,1628436,TRUE,0,1,0,0,0,0,NA,TRUE,0,1,0,8,0,0,1,0,1,2,0,1,0,0,0,-1,7.2,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1628436","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://stats.nba.com/media/players/700/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png"
"8",246,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Payton Pritchard",1,120,120,1630202,TRUE,1,4,0.25,0,3,0,1,TRUE,1,1,1,11,2,2,0,1,1,1,0,0,0,1,4,-8,6.7,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/1630202","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://stats.nba.com/media/players/700/1630202.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"9",303,2024,"2023-24","NBA","Regular Season","2023-10-25",22300065,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"A","BOS @ NYK","BOS",120,1,"NYK","BOS","NYK","W","Jrue Holiday",1,120,120,201950,TRUE,4,10,0.4,1,5,0.2,NA,TRUE,3,5,0.6,35,0,0,2,2,4,2,0,3,2,3,9,3,23.8,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201950","https://stats.nba.com/media/players/230x185/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png","https://stats.nba.com/media/players/700/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png"
"10",395,2024,"2023-24","NBA","Regular Season","2023-10-27",22300080,2,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. MIA","BOS",1,2,"MIA","BOS","MIA","W","Jrue Holiday",2,1,2,201950,TRUE,7,13,0.538,1,4,0.25,1,TRUE,6,9,0.666666666666667,36,2,2,2,8,10,7,0,1,1,2,17,4,41.5,"https://stats.nba.com/media/img/teams/logos/season/2023-24/BOS_logo.svg","https://stats.nba.com/player/201950","https://stats.nba.com/media/players/230x185/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png","https://stats.nba.com/media/players/700/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png"
