"","yearSeason","slugSeason","slugLeague","typeSeason","dateGame","idGame","numberGameTeamSeason","nameTeam","idTeam","isB2B","isB2BFirst","isB2BSecond","locationGame","slugMatchup","slugTeam","countDaysRestTeam","countDaysNextGameTeam","slugOpponent","slugTeamWinner","slugTeamLoser","outcomeGame","namePlayer","numberGamePlayerSeason","countDaysRestPlayer","countDaysNextGamePlayer","idPlayer","isWin","fgm","fga","pctFG","fg3m","fg3a","pctFG3","pctFT","hasVideo","fg2m","fg2a","pctFG2","minutes","ftm","fta","oreb","dreb","treb","ast","stl","blk","tov","pf","pts","plusminus","fpts","urlTeamSeasonLogo","urlPlayerStats","urlPlayerThumbnail","urlPlayerHeadshot","urlPlayerActionPhoto","urlPlayerPhoto"
"1",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Al Horford",1,120,120,201143,TRUE,4,7,0.571,3,5,0.6,NA,TRUE,1,2,0.5,26,0,0,0,3,3,5,1,1,0,2,11,19,28.1,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/201143","https://stats.nba.com/media/players/230x185/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png","https://stats.nba.com/media/players/700/201143.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201143.png"
"2",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Jrue Holiday",1,120,120,201950,TRUE,7,9,0.778,4,6,0.666666666666667,NA,TRUE,3,3,1,31,0,0,2,2,4,4,1,0,0,2,18,23,31.8,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/201950","https://stats.nba.com/media/players/230x185/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png","https://stats.nba.com/media/players/700/201950.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/201950.png"
"3",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Neemias Queta",1,120,120,1629674,TRUE,0,0,NA,0,0,0,NA,TRUE,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1629674","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629674.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629674.png","https://stats.nba.com/media/players/700/1629674.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"4",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Xavier Tillman",1,120,120,1630214,TRUE,1,6,0.167,0,3,0,NA,TRUE,1,3,0.333333333333333,18,0,0,3,4,7,2,0,0,0,1,2,-3,13.4,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1630214","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630214.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630214.png","https://stats.nba.com/media/players/700/1630214.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"5",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Jordan Walsh",1,120,120,1641775,TRUE,0,1,0,0,1,0,NA,TRUE,0,0,0,6,0,0,0,0,0,1,0,0,0,0,0,-9,1.5,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1641775","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641775.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1641775.png","https://stats.nba.com/media/players/700/1641775.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"6",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Derrick White",1,120,120,1628401,TRUE,8,13,0.615,6,10,0.6,1,TRUE,2,3,0.666666666666667,27,2,2,0,3,3,4,1,0,0,1,24,21,36.6,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1628401","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png","https://stats.nba.com/media/players/700/1628401.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628401.png"
"7",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Luke Kornet",1,120,120,1628436,TRUE,2,3,0.667,0,0,0,NA,TRUE,2,3,0.666666666666667,19,0,0,2,1,3,1,1,1,0,0,4,2,15.1,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1628436","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png","https://stats.nba.com/media/players/700/1628436.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628436.png"
"8",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Sam Hauser",1,120,120,1630573,TRUE,4,10,0.4,2,7,0.285714285714286,NA,TRUE,2,3,0.666666666666667,24,0,0,1,4,5,1,0,0,0,2,10,6,17.5,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1630573","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630573.png","https://stats.nba.com/media/players/700/1630573.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
"9",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Jayson Tatum",1,120,120,1628369,TRUE,14,18,0.778,8,11,0.727272727272727,0.5,TRUE,6,7,0.857142857142857,30,1,2,0,4,4,10,1,1,1,1,37,26,61.8,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1628369","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png","https://stats.nba.com/media/players/700/1628369.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628369.png"
"10",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Jaylen Brown",1,120,120,1627759,TRUE,7,18,0.389,5,9,0.555555555555556,1,TRUE,2,9,0.222222222222222,30,4,4,2,5,7,1,1,0,1,3,23,23,34.9,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1627759","https://stats.nba.com/media/players/230x185/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png","https://stats.nba.com/media/players/700/1627759.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627759.png"
"11",2025,"2024-25","NBA","Regular Season",2024-10-22,22400061,1,"Boston Celtics",1610612738,FALSE,FALSE,FALSE,"H","BOS vs. NYK","BOS",120,1,"NYK","BOS","NYK","W","Payton Pritchard",1,120,120,1630202,TRUE,1,10,0.1,1,9,0.111111111111111,NA,TRUE,0,1,0,25,0,0,1,3,4,4,0,0,1,2,3,7,12.8,"https://stats.nba.com/media/img/teams/logos/season/2024-25/BOS_logo.svg","https://stats.nba.com/player/1630202","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630202.png","https://stats.nba.com/media/players/700/1630202.png","https://stats.nba.com/media/img/league/nba-headshot-fallback.png"
